module,classification,recommendation,files,lines,screens_widgets,services_engines,models_contracts,local_dependency_count,depends_on,used_by,likely_orphans,duplicate_declaration_involvement
herd,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,7,2600,3,2,2,6,"animal, animal_movement, animal_weight, core, enterprise_platform, farm","animal, animal_document, animal_event, animal_executive_panel, animal_health, animal_health_enterprise, animal_intelligence_360, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_reproduction_enterprise, animal_weight, animal_weight_intelligence, animal_zootechnical, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai, core, dashboard, diagnostics, dr_beserra, executive_alerts, farm, farm_handling, indicators, technical_dashboard",1,0
nutrition,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,2139,1,2,1,3,"core, farm, farm_inventory","core, dashboard, dr_beserra, farm, livestock_operations, technical_dashboard",0,0
paddock,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,850,2,1,1,3,"core, enterprise_platform, farm","diagnostics, executive_alerts, farm, field_operations",0,0
reports,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,19,15918,9,6,2,5,"core, farm, farm_agenda, farm_finance, farm_inventory","atlas_intelligence_center, consultancy_client, core, dashboard",2,0
security_camera,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,3,683,1,1,1,1,core,precision_hub,0,0
atlas_copilot,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,3,1684,1,1,1,2,"atlas_bi, atlas_bi_analytics",,2,3
atlas_enterprise_operations,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,4,1245,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,1
atlas_executive_intelligence,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,4,1241,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,1
atlas_intelligence,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,3,1613,1,1,1,1,atlas_os,"dashboard, executive_core",1,2
atlas_intelligence_center,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,3,844,1,1,1,3,"core, enterprise_platform, reports","core, farm_finance",0,1
atlas_predictive_ai_suite,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,4,1294,1,2,1,4,"animal, animal_enterprise_suite, farm, herd",animal,0,1
copilot,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,18,5046,8,5,5,4,"core, dashboard, executive_brain, farm","dashboard, farm",0,1
enterprise_operations,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,1,211,1,0,0,2,"core, platform_hubs",,1,1
executive_intelligence,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,3,1762,1,1,1,2,"atlas_bi, atlas_bi_analytics","atlas_bi, dashboard, decision_engine, executive_ai_advisor",0,2
farm_operations,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,4,1120,1,2,1,0,,"dashboard, field_operations",0,1
operations,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,1,85,0,1,0,1,core,,1,1
performance_center,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,3,905,1,1,1,5,"action_plan, benefits_realization, continuous_improvement, core, farm_audit","action_plan, continuous_improvement, dashboard",0,4
performance_intelligence,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,5,1267,1,2,2,2,"core, predictive_ai","dashboard, strategic_execution_engine",0,4
predictive,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,4,2860,1,2,1,3,"core, diagnostics, farm","atlas_ai, farm",0,1
predictive_ai,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,4,794,1,2,1,1,knowledge_learning,"dashboard, performance_intelligence",0,2
predictive_analytics,DUPLICATE_FAMILY_REVIEW,CONSOLIDATE_BEFORE_NEW_FEATURES,3,1747,1,1,1,1,atlas_bi,"atlas_bi, dashboard, decision_engine_v2, mission_control",0,2
atlas_enterprise_50,LEGACY_OR_PHASE_REVIEW,CATALOG_DO_NOT_DELETE_YET,4,1345,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_scale,LEGACY_OR_PHASE_REVIEW,CATALOG_DO_NOT_DELETE_YET,2,87,1,0,1,0,,,1,0
atlas_sprints_11_15,LEGACY_OR_PHASE_REVIEW,CATALOG_DO_NOT_DELETE_YET,3,138,1,1,1,1,core,,1,0
atlas_sprints_16_20,LEGACY_OR_PHASE_REVIEW,CATALOG_DO_NOT_DELETE_YET,3,289,1,1,1,1,core,,1,0
atlas_sprints_21_25,LEGACY_OR_PHASE_REVIEW,CATALOG_DO_NOT_DELETE_YET,3,299,1,1,1,1,core,,1,0
platform_v1,LEGACY_OR_PHASE_REVIEW,CATALOG_DO_NOT_DELETE_YET,3,327,1,1,1,1,core,,1,0
commercial_readiness,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,98,1,0,1,0,,,1,0
flutter_quality,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,82,1,0,1,0,,,1,0
integration_hub,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,3,427,1,1,1,0,,dashboard,0,0
observability,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,4,704,1,2,1,0,,dashboard,0,0
offline_field,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,5,905,1,2,2,0,,dashboard,0,0
operational_readiness,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,172,1,0,1,0,,,1,0
pilot_program,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,135,1,0,1,0,,,1,0
publication_center,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,135,1,0,1,0,,,1,0
quality_center,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,4,722,1,2,1,0,,dashboard,0,0
release_engineering,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,303,1,1,0,1,core,,1,0
release_management,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,2,149,1,0,1,0,,,1,1
saas_admin,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,1,243,1,0,0,2,"core, platform_hubs",,1,0
security_center,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,3,260,1,1,1,1,core,,1,0
sync_platform,PLATFORM_INFRA,KEEP_IF_RUNTIME_REFERENCED,4,767,1,2,1,0,,dashboard,0,2
analytics,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,231,1,1,0,1,core,,1,0
app,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,3,191,1,0,0,2,"core, unified_workflow",,0,0
continuous_improvement,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,4,1014,1,2,1,4,"action_plan, farm_audit, knowledge_learning, performance_center","dashboard, knowledge_learning, performance_center",0,0
core,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,251,52843,57,74,24,20,"action_plan, animal_health, animal_reproduction, atlas_intelligence_center, authentication, consultancy_client, dashboard, digital_twin, dr_beserra, enterprise_platform, executive_alerts, farm, farm_agenda, farm_finance, farm_handling, farm_inventory, field_operations, herd, nutrition, reports","action_plan, analytics, animal, animal_document, animal_event, animal_genealogy, animal_health, animal_intelligence_360, animal_movement, animal_operations_center, animal_photo, animal_reproduction, animal_weight, app, atlas_advanced, atlas_advanced_ai, atlas_ai, atlas_ai_2, atlas_ai_enterprise, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_business, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_center, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_os, atlas_platform_resilience, atlas_precision_livestock, atlas_quality_release, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_sprints_11_15, atlas_sprints_16_20, atlas_sprints_21_25, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, authentication, automation_strategy, autonomous_consultant, command_center, commercial_platform, consultancy_client, copilot, dashboard, data_intelligence, decision_engine_v2, diagnostics, digital_twin, enterprise_operations, enterprise_platform, executive_alerts, executive_brain, farm, farm_agenda, farm_finance, farm_inventory, field_operations, governance_resilience, herd, indicators, integration_ecosystem, iot_enterprise, livestock_integration, livestock_operations, mission_control, ml_platform, nutrition, operations, optimization_engine, paddock, performance_center, performance_intelligence, platform_hubs, platform_v1, precision_hub, predictive, realtime, release_engineering, reports, saas_admin, scenario_simulator, security_camera, security_center, security_privacy_continuity, technical_dashboard, unified_workflow, workflow_engine",12,7
diagnostics,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,7,3825,2,3,2,9,"animal, core, dashboard, farm, farm_agenda, farm_finance, farm_inventory, herd, paddock","atlas_ai, dashboard, executive_alerts, farm, predictive",0,0
enterprise_platform,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,33,8224,6,16,8,2,"core, farm","animal, animal_event, animal_genealogy, animal_movement, animal_weight, animal_zootechnical, atlas_intelligence_center, authentication, consultancy_client, core, dashboard, farm, farm_handling, herd, livestock_operations, paddock",3,0
farm_audit,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,4,1713,1,2,1,3,"action_plan, autonomous_consultant, digital_twin","action_plan, autonomous_consultant, benefits_realization, continuous_improvement, dashboard, decision_intelligence_lab, knowledge_learning, performance_center, recommendation_intelligence, strategic_alignment, strategy_execution",0,0
field_operations,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,4,883,2,1,1,4,"core, farm, farm_operations, paddock",core,0,0
integration_ecosystem,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,274,1,1,0,1,core,,1,0
investment_capital_allocation,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,7,1398,1,2,4,1,strategic_execution_engine,"dashboard, strategic_scenario_planning",0,0
iot_enterprise,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,236,1,1,0,1,core,,1,0
knowledge_learning,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,4,1237,1,2,1,4,"action_plan, continuous_improvement, farm_audit, recommendation_intelligence","continuous_improvement, dashboard, decision_intelligence_lab, predictive_ai, recommendation_intelligence",0,0
livestock_integration,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,162,0,1,1,1,core,,1,0
livestock_operations,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,3,969,1,1,1,8,"animal_health, animal_reproduction, core, enterprise_platform, farm, farm_finance, farm_inventory, nutrition",,1,0
ml_platform,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,238,1,1,0,1,core,,1,0
platform_hubs,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,3,118,1,1,1,1,core,"enterprise_operations, precision_hub, saas_admin",0,0
precision_hub,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,1,235,1,0,0,3,"core, platform_hubs, security_camera",,1,0
realtime,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,270,1,1,0,1,core,,1,0
reporting,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,4,956,1,2,1,0,,dashboard,0,0
security_privacy_continuity,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,2,285,1,1,0,1,core,,1,0
strategic_alignment,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,3,880,1,1,1,3,"farm_audit, strategic_scenario_planning, strategy_execution","dashboard, strategic_capacity",0,0
strategic_capacity,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,3,943,1,1,1,2,"strategic_alignment, strategy_execution","dashboard, portfolio_management",0,0
strategic_execution_engine,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,5,1353,1,2,2,1,performance_intelligence,"dashboard, investment_capital_allocation",0,0
workflow_engine,SUPPORTING_FEATURE,REVIEW_AND_ASSIGN_OWNER,4,1794,1,2,1,3,"atlas_bi, core, decision_tracking","atlas_bi, dashboard, decision_engine_v2, mission_control",1,0
